WordnetID	count	Synsets	Definition
n04381994	3491	tableware	articles for use at the table (dishes and silverware and glassware)
n00441686	3775	telemark	a turn made in skiing; the outside ski is placed ahead and turned gradually inwards
n04929976	7708	treatment	a manner of dealing with something artistically
n08641113	220086	vicinity,locality,neighborhood,neighbourhood,neck_of_the_woods	a surrounding or nearby region
n13792842	9506	communication	a connection allowing access between persons or places
n07460104	3141	footrace,foot_race,run	a race run on foot
n00446311	2453	professional_boxing	boxing for money
n14882793	9296	stained_glass	glass that has been colored in some way; used for church windows
n12130759	4256	Phragmites,genus_Phragmites	reeds of marshes and riversides in tropical or temperate regions
n03908831	2856	pendant,pendent	an adornment that hangs from a piece of jewelry (necklace or earring)
n04946877	57147	texture	the feel of a surface or a fabric
n00451635	60069	motorcycling	riding a motorcycle
n04610879	78475	yard,grounds,curtilage	the enclosed land around a house or other building
n05598147	113334	nose,olfactory_organ	the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals
n01811909	3015	pigeon	wild and domesticated birds having a heavy body and short legs
n10287213	140163	man,adult_male	an adult person who is male (as opposed to a woman)
n13384557	10896	money	the most common medium of exchange; functions as legal tender
n03781244	62159	monastery	the residence of a religious community
n01674464	5994	lizard	relatively long-bodied reptile with usually two pairs of legs and a tapering tail
n07003119	257101	drawing	an illustration that is drawn by hand and published in a book, magazine, or newspaper
n03655295	13294	Lego,Lego_set	(trademark) a child's plastic construction set for making mechanical models
n00004475	10988	organism,being	a living thing that has (or can develop) the ability to act or function independently
n07942152	463801	people	(plural) any group of human beings (men or women or children) collectively
n12655869	2418	raspberry,raspberry_bush	woody brambles bearing usually red but sometimes black or yellow fruits that separate from the receptacle when ripe and are rounder and smaller than blackberries
n04313628	15842	stele,stela	an ancient upright stone slab bearing markings
n09225943	7936	bog,peat_bog	wet spongy ground of decomposing vegetation; has poorer drainage than a swamp; soil is unfit for cultivation but can be cut and dried and used for fuel
n02788572	6843	baptismal_font,baptistry,baptistery,font	bowl for baptismal water
n02169497	6123	leaf_beetle,chrysomelid	brightly colored beetle that feeds on plant leaves; larvae infest roots and stems
n02872752	3311	boot	footwear that covers the whole foot and lower leg
n12620031	3649	Rosa,genus_Rosa	large genus of erect or climbing prickly shrubs including roses
n04347119	16508	subcompact,subcompact_car	a car smaller than a compact car
n02936714	2945	cage,coop	an enclosure made or wire or metal bars in which birds or animals can be kept
n07555863	22296	food,solid_food	any solid substance (as opposed to liquid) that is used as a source of nourishment
n04497962	9245	tunnel	a passageway through or under something, usually underground (especially one for trains or cars)
n13252513	24476	plantation	an estate where cash crops are grown on a large scale (especially in tropical areas)
n03995535	7993	power_line,power_cable	cable used to distribute electricity
n00609953	84695	profession	an occupation requiring special education (especially in the liberal arts or sciences)
n04118021	4365	rug,carpet,carpeting	floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
n05238282	85311	skin,tegument,cutis	a natural protective body covering and site of the sense of touch
n04530566	85147	vessel,watercraft	a craft designed for water transportation
n04374735	44240	synagogue,temple,tabernacle	(Judaism) the place of worship for a Jewish congregation
n07879450	2939	sushi	rice (with raw fish) wrapped in seaweed
n03073977	37968	column,pillar	(architecture) a tall vertical cylindrical structure standing upright and used to support a structure
n02283201	44948	moth	typically crepuscular or nocturnal insect having a stout body and feathery or hairlike antennae
n00166172	10781	move	(game) a player's turn to take some action permitted by the rules of the game
n07025900	6137	classical_music,classical,serious_music	traditional genre of music conforming to an established form and appealing to critical interest and developed musical taste
n00081836	15869	shopping	searching for or buying goods or services
n02733213	7569	arcade,colonnade	a structure composed of a series of arches supported by columns
n00467995	7037	field_hockey,hockey	a game resembling ice hockey that is played on an open field; two opposing teams use curved sticks try to drive a ball into the opponents' net
n03287733	26860	engine	motor that converts thermal energy to mechanical work
n02796995	35495	barroom,bar,saloon,ginmill,taproom	a room or establishment where alcoholic drinks are served over a counter
n02084071	182362	dog,domestic_dog,Canis_familiaris	a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
n14956325	8151	mud,clay	water soaked soil; soft wet earth
n00477392	2401	lacrosse	a game invented by American Indians; now played by two teams who use long-handled rackets to catch and carry and throw the ball toward the opponents' goal
n07303585	5000	campfire	a small outdoor fire for warmth or cooking (as at a camp)
n04460130	178056	tower	a structure taller than its diameter; can stand alone or be attached to a larger building
n07007945	10677	play,drama,dramatic_play	a dramatic work intended for performance by actors on a stage
n05850212	186818	feature_of_speech,feature	(linguistics) a distinctive characteristic of a linguistic unit that serves to distinguish it from other units of the same kind
n03005285	2992	chandelier,pendant,pendent	branched lighting fixture; often ornate; hangs from the ceiling
n00949619	95471	technology,engineering	the practical application of science to commerce or industry
n06410904	15748	book	a written work or composition that has been published (printed on pages bound together)
n07823951	10427	curry	(East Indian cookery) a pungent dish of vegetables or meats flavored with curry powder and usually eaten with rice
n04565375	19673	weapon,arm,weapon_system	any instrument or instrumentality used in fighting or hunting
n00887544	58202	team_sport	a sport that involves competition between teams of players
